bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
Lee Garden One (The Lee Gardens),CAUSEWAY BAY,167115,2571,167115,65,22.2784388,114.1847145,4.0,15.0,20.0
One Humphreys,TSIM SHA TSUI,166410,3698,166410,45,22.2982348,114.1724705,5.0,8.0,20.0
One Humphreys,TSIM SHA TSUI,166410,3698,166410,45,22.2982348,114.1724705,5.0,8.0,20.0
K11 Atelier King's Road,QUARRY BAY,166275,3695,166275,45,22.2883738,114.209851,1.0,1.0,20.0
Trade Square,CHEUNG SHA WAN / LAI CHI KOK,166029,8960,166029,18,22.3349378,114.1567759,0.0,0.0,4.0
Grand Millennium Plaza,SHEUNG WAN,166022,4883,166022,34,22.2856235,114.1529485,10.0,10.0,20.0
World Trade Centre,CAUSEWAY BAY,165600,3600,165600,46,22.2815279,114.1842189,2.0,14.0,20.0
"Gloucester Road, 80",WAN CHAI,165009,3878,165009,42,22.2790306,114.1729085,1.0,4.0,20.0
Admiralty Centre - Tower 1,ADMIRALTY,164745,4707,164745,35,22.2792728,114.1650221,0.0,4.0,20.0
China Hong Kong City - Tower 5,TSIM SHA TSUI,164332,5869,164332,28,22.3008733,114.1679008,0.0,5.0,15.0
China Hong Kong City - Tower 1,TSIM SHA TSUI,164276,5867,164276,28,22.3008733,114.1679008,0.0,5.0,15.0
"King's Road, 1001",QUARRY BAY,164185,4691,164185,35,22.2849349,114.2124481,1.0,6.0,20.0
United Asia Finance Centre,WAN CHAI,164010,4970,164010,33,22.276022,114.1751471,2.0,2.0,12.0
Hing Wai Building,CENTRAL,163540,2516,163540,65,22.2818233,114.1562602,20.0,8.0,20.0
Lippo Centre - Tower 1,ADMIRALTY,163513,3337,163513,49,22.2791796,114.1636752,0.0,3.0,17.0
Regent Centre,CENTRAL,163350,4950,163350,33,55.0114905,-1.6233664,3.0,1.0,0.0
St. John's Building,CENTRAL,163200,3400,163200,48,22.2777267,114.1591931,1.0,2.0,3.0
World Trade Centre,CAUSEWAY BAY,163200,4080,163200,40,22.2815279,114.1842189,2.0,14.0,20.0
United Centre,ADMIRALTY,162294,4918,162294,33,22.2784312,114.1654177,0.0,5.0,12.0
China Minmetals Tower,TSIM SHA TSUI,162204,5793,162204,28,22.3008318,114.1758205,4.0,6.0,20.0
Three Garden Road - Champion Tower,CENTRAL,161700,1650,161700,98,22.2784355,114.160606,1.0,4.0,10.0
Entertainment Building,CENTRAL,161630,2309,161630,70,22.2814411,114.1564406,18.0,12.0,20.0
K11 Atelier King's Road,QUARRY BAY,161595,3591,161595,45,22.2883738,114.209851,1.0,1.0,20.0
"Gateway, The - Tower 1",TSIM SHA TSUI,161320,4360,161320,37,22.2988123,114.1721746,3.0,6.0,20.0
HDH Centre,CAUSEWAY BAY,161250,3225,161250,50,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,161250,3225,161250,50,22.2787948,114.186212,6.0,4.0,20.0
Unicorn Trade Centre,CENTRAL,160720,3920,160720,41,22.2852682,114.1552761,4.0,14.0,20.0
Silver Fortune Plaza,CENTRAL,160007,4397,160007,36,22.2811073,114.1561361,20.0,15.0,20.0
"Gloucester Road, 80",WAN CHAI,160002,4110,160002,38,22.2790306,114.1729085,1.0,4.0,20.0
Admiralty Centre - Tower 2,ADMIRALTY,160000,4000,160000,40,22.2791365,114.165544,0.0,4.0,20.0
Marina 8,WONG CHUK HANG,159510,6135,159510,26,22.2484741,114.1677273,4.0,2.0,12.0
Marina 8,WONG CHUK HANG,159510,6135,159510,26,22.2484741,114.1677273,4.0,2.0,12.0
Central Plaza,WAN CHAI,158872,2837,158872,56,22.2799097,114.1737282,0.0,0.0,0.0
Fortis Tower,WAN CHAI,158750,6350,158750,25,22.2788236,114.1726785,1.0,7.0,20.0
"Chinachem Central, One",CENTRAL,158400,2400,158400,66,22.2823371,114.157403,6.0,4.0,20.0
Guardian House,WAN CHAI,158200,6328,158200,25,22.2770242,114.179625,1.0,6.0,20.0
YF Life Centre,WAN CHAI,158200,3955,158200,40,22.279064,114.1693057,0.0,0.0,2.0
United Asia Finance Centre,WAN CHAI,158070,4790,158070,33,22.276022,114.1751471,2.0,2.0,12.0
"Gloucester Road, 80",WAN CHAI,157988,4110,157988,38,22.2790306,114.1729085,1.0,4.0,20.0
"Queen's Road Central, 9",CENTRAL,157872,3289,157872,48,22.2803695,114.1581007,3.0,12.0,20.0
"Chinachem Central, Two",CENTRAL,157586,2717,157586,58,22.2823371,114.157403,6.0,4.0,20.0
"Chinachem Central, Two",CENTRAL,157586,2717,157586,58,22.2823371,114.157403,6.0,4.0,20.0
163 QRE,WAN CHAI,157320,3933,157320,40,22.2750105,114.1716997,3.0,17.0,20.0
Golden Centre,SHEUNG WAN,157280,3932,157280,40,22.2859473,114.1533641,5.0,7.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,156912,3269,156912,48,22.301131,114.1726444,4.0,11.0,20.0
"Electric Road, 148",NORTH POINT,156856,5602,156856,28,22.2864911,114.1917255,6.0,8.0,20.0
Ka Wing Building - Res,TSIM SHA TSUI,156800,5600,156800,28,22.3001541,114.1738489,7.0,5.0,20.0
Pacific House,CENTRAL,156579,2747,156579,57,22.2809214,114.1570781,14.0,15.0,20.0
Times Square - Tower 1,CAUSEWAY BAY,156550,3131,156550,50,22.278151,114.1821136,12.0,20.0,20.0
Three Garden Road - Champion Tower,CENTRAL,156426,1682,156426,93,22.2784355,114.160606,1.0,4.0,10.0
Landmark South,WONG CHUK HANG,156377,6799,156377,23,22.249265,114.167138,2.0,2.0,7.0
K Wah Centre,NORTH POINT,155850,5195,155850,30,22.2932357,114.2047775,0.0,2.0,0.0
AIA Tower,NORTH POINT,154140,3670,154140,42,22.2880413,114.1923207,3.0,9.0,20.0
Landmark South,WONG CHUK HANG,154008,6696,154008,23,22.249265,114.167138,2.0,2.0,7.0
Kinwick Centre,CENTRAL,153710,4045,153710,38,22.2820704,114.1532016,10.0,20.0,20.0
China Resources Building,WAN CHAI,153318,2222,153318,69,22.2799943,114.1750916,0.0,0.0,5.0
Central Plaza,WAN CHAI,152845,2779,152845,55,22.2799097,114.1737282,0.0,0.0,0.0
Beautiful Group Tower,SHEUNG WAN,152178,3902,152178,39,22.2863943,114.1491375,5.0,3.0,20.0
"King's Road, 1001",QUARRY BAY,152118,5634,152118,27,22.2849349,114.2124481,1.0,6.0,20.0
Zing!,CAUSEWAY BAY,151772,3994,151772,38,22.2772714,114.1816445,9.0,15.0,20.0
Kai Tak Commercial Building,SHEUNG WAN,151554,5226,151554,29,22.2872433,114.1506702,2.0,6.0,20.0
United Asia Finance Centre,WAN CHAI,151470,4590,151470,33,22.276022,114.1751471,2.0,2.0,12.0
On Hing Building,CENTRAL,151140,4580,151140,33,22.2805487,114.1564993,13.0,14.0,20.0
"H Code, The Steps",CENTRAL,151130,2159,151130,70,22.2821827,114.1542985,17.0,18.0,20.0
"H Code, The Steps",CENTRAL,151130,2159,151130,70,22.2821827,114.1542985,17.0,18.0,20.0
Chinachem Golden Plaza,TSIM SHA TSUI,151100,6044,151100,25,22.2988123,114.1721746,3.0,6.0,20.0
North Point Industrial Building,NORTH POINT,151040,9440,151040,16,22.291881,114.2022726,0.0,2.0,20.0
Singga Commercial Centre,WESTERN / KENNEDY TOWN,150800,5200,150800,29,22.2822235,114.1292619,1.0,1.0,20.0
World Trade Centre,CAUSEWAY BAY,150512,3272,150512,46,22.2815279,114.1842189,2.0,14.0,20.0
Tai Tung Building,WAN CHAI,150160,3754,150160,40,22.2773668,114.1746362,4.0,5.0,20.0
Central Plaza,WAN CHAI,150095,2729,150095,55,22.2799097,114.1737282,0.0,0.0,0.0
Charmhill Centre,TSIM SHA TSUI,150012,3365,150012,44,22.2988123,114.1721746,3.0,6.0,20.0
Southgate Commercial Centre,TSIM SHA TSUI,150004,2516,150004,59,22.3001688,114.1739528,7.0,5.0,20.0
Honest Building,CAUSEWAY BAY,149994,4573,149994,32,22.276953,114.181412,6.0,8.0,20.0
Prince Tower,TSIM SHA TSUI,149994,2600,149994,57,22.2965144,114.1712853,8.0,6.0,20.0
"Hart Avenue, 4",TSIM SHA TSUI,149986,3800,149986,39,22.2978209,114.174439,10.0,9.0,20.0
Emperor Watch & Jewellery Centre,CAUSEWAY BAY,149985,4718,149985,31,22.2787435,114.1818118,6.0,14.0,20.0
Yardley Commercial Building,SHEUNG WAN,149976,6249,149976,24,22.2875054,114.1501129,0.0,3.0,16.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,149891,3059,149891,49,22.301131,114.1726444,4.0,11.0,20.0
Allied Kajima Building,WAN CHAI,149840,3746,149840,40,22.2792687,114.176401,3.0,4.0,16.0
Sun Hung Kai Centre,WAN CHAI,149820,2724,149820,55,22.2804582,114.1768125,0.0,3.0,20.0
Central Plaza,WAN CHAI,149544,2412,149544,62,22.2799097,114.1737282,0.0,0.0,0.0
New Mandarin Plaza - Tower A,TSIM SHA TSUI,149500,5750,149500,26,22.3005491,114.1786611,1.0,6.0,20.0
Silver Fortune Plaza,CENTRAL,149498,4397,149498,34,22.2811073,114.1561361,20.0,15.0,20.0
Three Garden Road - ICBC Tower,CENTRAL,149265,1605,149265,93,22.2783737,114.1609727,1.0,3.0,10.0
Sands Building,TSIM SHA TSUI,149048,4808,149048,31,22.2965222,114.1709494,8.0,3.0,20.0
On Hing Building,CENTRAL,148850,4580,148850,32,22.2805487,114.1564993,13.0,14.0,20.0
88WL,SHEUNG WAN,148832,4651,148832,32,22.2865132,114.150992,15.0,7.0,20.0
Central Plaza,WAN CHAI,148366,2393,148366,62,22.2799097,114.1737282,0.0,0.0,0.0
"The Chelsea (Jervois Street, 69)",SHEUNG WAN,148320,4120,148320,36,22.2852335,114.1511115,19.0,20.0,20.0
QRE Plaza,WAN CHAI,148140,3292,148140,45,22.2749857,114.1722029,3.0,13.0,20.0
QRE Plaza,WAN CHAI,148140,3292,148140,45,22.2749857,114.1722029,3.0,13.0,20.0
QRE Plaza,WAN CHAI,148140,3292,148140,45,22.2749857,114.1722029,3.0,13.0,20.0
QRE Plaza,WAN CHAI,148140,3292,148140,45,22.2749857,114.1722029,3.0,13.0,20.0
Grand Millennium Plaza,SHEUNG WAN,148045,5105,148045,29,22.2856235,114.1529485,10.0,10.0,20.0
Grand Place,MONG KOK / TAI KOK TSUI,148006,4300,148006,34,22.3198474,114.1620857,0.0,6.0,20.0
299QRC,SHEUNG WAN,147987,2349,147987,63,22.2849577,114.150647,9.0,20.0,20.0
Garden East,WAN CHAI,147700,1477,147700,100,22.274771,114.172693,4.0,9.0,20.0
Chinachem Tower,CENTRAL,146850,2670,146850,55,22.2837458,114.1569637,6.0,6.0,20.0
Lee & Man Commercial Center,NORTH POINT,146146,5621,146146,26,22.287503,114.191589,4.0,6.0,20.0
Island Place Tower,NORTH POINT,145824,6076,145824,24,22.2914596,114.2030318,1.0,4.0,20.0
Ruttonjee Centre - Dina House,CENTRAL,145200,2904,145200,50,22.2800925,114.1569893,5.0,7.0,20.0
Times Tower,WAN CHAI,145160,3820,145160,38,22.2801986,114.1800469,1.0,2.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
HDH Centre,CAUSEWAY BAY,145125,3225,145125,45,22.2787948,114.186212,6.0,4.0,20.0
Health Aura,CAUSEWAY BAY,145008,1696,145008,85,22.278644,114.186537,1.0,5.0,20.0
Wong Tze Building,KWUN TONG,144960,7248,144960,20,22.311084,114.2250719,6.0,6.0,20.0
C C Wu Building,WAN CHAI,144368,5156,144368,28,22.2777777,114.1778408,6.0,6.0,20.0
"Heung Yip Road, 41",WONG CHUK HANG,144159,4971,144159,29,22.2477698,114.1632639,4.0,2.0,3.0
North Point Industrial Building,NORTH POINT,144000,9000,144000,16,22.291881,114.2022726,0.0,2.0,20.0
"Hing Fat Street, 88",NORTH POINT,143500,4100,143500,35,22.2857461,114.1907881,1.0,4.0,20.0
Harbour Centre,WAN CHAI,143385,2607,143385,55,22.2811111,114.1755556,0.0,7.0,20.0
Westlands Centre,QUARRY BAY,142681,8393,142681,17,22.2867201,114.2133469,9.0,4.0,6.0
H Code,CENTRAL,142600,6200,142600,23,22.2821827,114.1542985,17.0,18.0,20.0
"Johnston Road, 208",WAN CHAI,142350,2847,142350,50,22.2773147,114.1762227,8.0,4.0,20.0
Mall Plus,WAN CHAI,142200,1580,142200,90,22.2786533,114.1798487,9.0,2.0,20.0
New Henry House,CENTRAL,142100,2030,142100,70,22.2808196,114.1584629,2.0,16.0,20.0
COFCO Tower,CAUSEWAY BAY,141984,2958,141984,48,22.2815626,114.1828848,3.0,11.0,20.0
Albion Plaza,TSIM SHA TSUI,141860,3460,141860,41,22.2993375,114.1726271,6.0,14.0,20.0
"Harbourfront, Two",HUNG HOM / TO KWA WAN,141542,4163,141542,34,22.3173373,114.1879691,0.0,0.0,14.0
Cosco Tower,SHEUNG WAN,141375,2175,141375,65,22.2856235,114.1529485,10.0,10.0,20.0
YF Life Tower,WAN CHAI,141375,3625,141375,39,22.2785293,114.1699751,1.0,2.0,20.0
New Henry House,CENTRAL,140980,2014,140980,70,22.2808196,114.1584629,2.0,16.0,20.0
Sun Hung Kai Centre,WAN CHAI,140580,2343,140580,60,22.2804582,114.1768125,0.0,3.0,20.0
88WL,SHEUNG WAN,140349,4253,140349,33,22.2865132,114.150992,15.0,7.0,20.0
88WL,SHEUNG WAN,140349,4253,140349,33,22.2865132,114.150992,15.0,7.0,20.0
United Centre,ADMIRALTY,140118,4246,140118,33,22.2784312,114.1654177,0.0,5.0,12.0
Park Commercial Centre,CAUSEWAY BAY,139980,4666,139980,30,22.2819266,114.1920769,0.0,1.0,4.0
China Hong Kong City - Tower 5,TSIM SHA TSUI,139692,4989,139692,28,22.3008733,114.1679008,0.0,5.0,15.0
Cosco Tower,SHEUNG WAN,139680,2328,139680,60,22.2856235,114.1529485,10.0,10.0,20.0
Concordia Plaza,TSIM SHA TSUI,139265,3979,139265,35,22.2988123,114.1721746,3.0,6.0,20.0
Man Yee Building,CENTRAL,139080,1464,139080,95,22.2835772,114.1561146,19.0,6.0,20.0
Plaza 2000,CAUSEWAY BAY,139020,3972,139020,35,22.2786238,114.1816028,7.0,15.0,20.0
Infinitus Plaza,SHEUNG WAN,138936,3308,138936,42,22.2864399,114.1536781,2.0,8.0,20.0
Cosco Tower,SHEUNG WAN,138285,3073,138285,45,22.2856235,114.1529485,10.0,10.0,20.0
Mirror Tower,TSIM SHA TSUI,138020,4285,138020,32,22.297553,114.176456,1.0,3.0,20.0
Eu Yan Sang Tower,TSIM SHA TSUI,138006,3400,138006,40,22.2969073,114.1751611,1.0,2.0,20.0
Milton Mansion,TSIM SHA TSUI,137999,660,137999,209,22.2994935,114.1722783,6.0,15.0,20.0
Neich Tower,WAN CHAI,137990,4798,137990,28,22.2792685,114.1757735,2.0,4.0,8.0
Island Place Tower,NORTH POINT,137980,4753,137980,29,22.2914596,114.2030318,1.0,4.0,20.0
Entertainment Building,CENTRAL,137970,1971,137970,70,22.2814411,114.1564406,18.0,12.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,137906,2602,137906,53,22.301131,114.1726444,4.0,11.0,20.0
Cosco Tower,SHEUNG WAN,137880,3064,137880,45,22.2856235,114.1529485,10.0,10.0,20.0
Chinachem Tower,CENTRAL,137540,2990,137540,46,22.2837458,114.1569637,6.0,6.0,20.0
"King's Road, 1001",QUARRY BAY,137125,5485,137125,25,22.2849349,114.2124481,1.0,6.0,20.0
Standard Chartered Bank Building,CENTRAL,136960,1712,136960,80,22.2799907,114.1587983,1.0,7.0,17.0
Energy Plaza,TSIM SHA TSUI,136885,3911,136885,35,22.2999261,114.1767262,0.0,2.0,11.0
East Town Building,WAN CHAI,136617,4407,136617,31,22.2783849,114.1705822,2.0,4.0,20.0
St. George's Building,CENTRAL,136612,1394,136612,98,22.2820638,114.1589289,0.0,7.0,20.0
Genesis,WONG CHUK HANG,136560,9104,136560,15,22.2459198,114.1664957,0.0,1.0,3.0
K Wah Centre,NORTH POINT,136482,5934,136482,23,22.2932357,114.2047775,0.0,2.0,0.0
Tung Hip Commercial Building,SHEUNG WAN,136360,4870,136360,28,22.2862512,114.1521567,15.0,8.0,20.0
Energy Plaza,TSIM SHA TSUI,136356,6198,136356,22,22.2999261,114.1767262,0.0,2.0,11.0
The Center,CENTRAL,136188,1746,136188,78,22.2846202,114.1547347,3.0,17.0,20.0
Cosco Tower,SHEUNG WAN,136184,2348,136184,58,22.2856235,114.1529485,10.0,10.0,20.0
The Center,CENTRAL,135940,3884,135940,35,22.2846202,114.1547347,3.0,17.0,20.0
Entertainment Building,CENTRAL,135920,1699,135920,80,22.2814411,114.1564406,18.0,12.0,20.0
Causeway Bay Plaza II,CAUSEWAY BAY,135730,3878,135730,35,22.2805414,114.1821601,7.0,8.0,20.0
Wheelock House,CENTRAL,135447,1963,135447,69,22.282005,114.1573585,7.0,4.0,20.0
"Chinese Bank Building, The",CENTRAL,135415,3869,135415,35,,,,,
"Chinese Bank Building, The",CENTRAL,134928,3748,134928,36,,,,,
Siu On Plaza,CAUSEWAY BAY,134904,4088,134904,33,22.2808991,114.1827881,3.0,20.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,134720,4210,134720,32,22.3136835,114.2212449,1.0,3.0,20.0
"King's Road, 1063",QUARRY BAY,134558,3541,134558,38,22.2849855,114.213756,6.0,4.0,11.0
H Queen's,CENTRAL,134485,2069,134485,65,22.2830115,114.1552938,20.0,14.0,20.0
Shui On Centre,WAN CHAI,134480,3362,134480,40,22.2801875,114.1716875,0.0,5.0,11.0
Chubb Tower (Windsor House),CAUSEWAY BAY,134475,5379,134475,25,22.280292,114.1864779,4.0,2.0,20.0
Lippo Centre - Tower 2,ADMIRALTY,134316,3731,134316,36,22.2792541,114.1636196,1.0,3.0,17.0
Millennium City 1 - Tower 01,KWUN TONG,134272,4196,134272,32,22.3136835,114.2212449,1.0,3.0,20.0
New Mandarin Plaza - Tower B,TSIM SHA TSUI,134225,3835,134225,35,22.3005491,114.1786611,1.0,6.0,20.0
Central Plaza,WAN CHAI,134145,2439,134145,55,22.2799097,114.1737282,0.0,0.0,0.0
Grand Millennium Plaza,SHEUNG WAN,133994,3941,133994,34,22.2856235,114.1529485,10.0,10.0,20.0
"Electric Road, 148",NORTH POINT,133868,4781,133868,28,22.2864911,114.1917255,6.0,8.0,20.0
Leighton Centre,CAUSEWAY BAY,133856,2848,133856,47,22.2776353,114.1829035,12.0,16.0,20.0
Central Plaza,WAN CHAI,133588,2569,133588,52,22.2799097,114.1737282,0.0,0.0,0.0
Three Garden Road - ICBC Tower,CENTRAL,133548,1436,133548,93,22.2783737,114.1609727,1.0,3.0,10.0
Jubilee Centre,WAN CHAI,133420,3812,133420,35,22.2789226,114.1706823,0.0,2.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,133354,2899,133354,46,22.301131,114.1726444,4.0,11.0,20.0
Central Plaza,WAN CHAI,133320,2222,133320,60,22.2799097,114.1737282,0.0,0.0,0.0
Hopewell Centre,WAN CHAI,133200,1332,133200,100,22.2746386,114.1717253,3.0,10.0,20.0
Citicorp Centre,NORTH POINT,133150,5326,133150,25,22.2862718,114.1902927,0.0,4.0,16.0
COFCO Tower,CAUSEWAY BAY,133110,2958,133110,45,22.2815626,114.1828848,3.0,11.0,20.0
"King's Road, 1001",QUARRY BAY,133105,3803,133105,35,22.2849349,114.2124481,1.0,6.0,20.0
New Henry House,CENTRAL,133000,1900,133000,70,22.2808196,114.1584629,2.0,16.0,20.0
New Henry House,CENTRAL,133000,1900,133000,70,22.2808196,114.1584629,2.0,16.0,20.0
"Johnston Road, 208",WAN CHAI,132986,2891,132986,46,22.2773147,114.1762227,8.0,4.0,20.0
China Insurance Group Building,SHEUNG WAN,132900,4430,132900,30,22.2863943,114.1491375,5.0,3.0,20.0
HKHC Tower,JORDAN,132896,4153,132896,32,22.3051095,114.1713618,2.0,3.0,20.0
Infinitus Plaza,SHEUNG WAN,132869,2827,132869,47,22.2864399,114.1536781,2.0,8.0,20.0
Guardian House,WAN CHAI,132500,5300,132500,25,22.2770242,114.179625,1.0,6.0,20.0
Prosperous Building,CENTRAL,132280,3307,132280,40,22.2833466,114.1564528,20.0,7.0,20.0
Goldlion Holdings Centre,SHATIN / FO TAN,132000,11000,132000,12,22.3985709,114.1929428,1.0,0.0,9.0
"Observatory Road, 8",TSIM SHA TSUI,131975,6730,131975,19,22.30117,114.17572,1.0,6.0,20.0
Lippo Centre - Tower 1,ADMIRALTY,131915,3769,131915,35,22.2791796,114.1636752,0.0,3.0,17.0
Times Square - Tower 1,CAUSEWAY BAY,131850,2637,131850,50,22.278151,114.1821136,12.0,20.0,20.0
Silvercord - Tower 1,TSIM SHA TSUI,131307,3979,131307,33,22.2973783,114.1695911,2.0,6.0,20.0
Genesis,WONG CHUK HANG,131251,10254,131251,12,22.2459198,114.1664957,0.0,1.0,3.0
Hang Lung Centre,CAUSEWAY BAY,131120,2384,131120,55,22.2802143,114.1859353,5.0,3.0,20.0
Sun Hung Kai Centre,WAN CHAI,130955,2381,130955,55,22.2804582,114.1768125,0.0,3.0,20.0
China Overseas Building,WAN CHAI,130860,3635,130860,36,22.2778337,114.1727784,2.0,7.0,20.0
"Heung Yip Road, 41",WONG CHUK HANG,130750,5230,130750,25,22.2477698,114.1632639,4.0,2.0,3.0
Two Chinachem Plaza,SHEUNG WAN,130606,3437,130606,38,22.2863943,114.1491375,5.0,3.0,20.0
Two Chinachem Plaza,SHEUNG WAN,130606,3437,130606,38,22.2863943,114.1491375,5.0,3.0,20.0
Grand Centre,TSIM SHA TSUI,130500,2610,130500,50,22.2986055,114.1735857,4.0,6.0,20.0
Lee Garden Six (111 Leighton Road),CAUSEWAY BAY,130365,2897,130365,45,22.2777432,114.185842,0.0,7.0,20.0
"Hing Fat Street, 88",NORTH POINT,130200,4200,130200,31,22.2857461,114.1907881,1.0,4.0,20.0
Chinachem Tower,CENTRAL,130000,2000,130000,65,22.2837458,114.1569637,6.0,6.0,20.0
LKF29 (Onfem Tower),CENTRAL,129999,2878,129999,45,22.280332,114.155545,11.0,10.0,20.0
Oliv,CAUSEWAY BAY,129998,2090,129998,62,22.2778545,114.1821968,12.0,20.0,20.0
Sun Hung Kai Centre,WAN CHAI,129978,2241,129978,58,22.2804582,114.1768125,0.0,3.0,20.0
Ruttonjee Centre - Dina House,CENTRAL,129960,3249,129960,40,22.2800925,114.1569893,5.0,7.0,20.0
China Minmetals Tower,TSIM SHA TSUI,129920,4640,129920,28,22.3008318,114.1758205,4.0,6.0,20.0
The Center,CENTRAL,129402,2054,129402,63,22.2846202,114.1547347,3.0,17.0,20.0
Sino Plaza,CAUSEWAY BAY,129024,2688,129024,48,22.2814029,114.1824265,3.0,5.0,20.0
Tai Tung Building,WAN CHAI,129024,3584,129024,36,22.2773668,114.1746362,4.0,5.0,20.0
Man Yee Building,CENTRAL,128970,1433,128970,90,22.2835772,114.1561146,19.0,6.0,20.0
Sup Tower,NORTH POINT,128915,5605,128915,23,22.2860458,114.1927047,3.0,3.0,20.0
Leighton Centre,CAUSEWAY BAY,128880,3222,128880,40,22.2776353,114.1829035,12.0,16.0,20.0
China Resources Building,WAN CHAI,128702,2219,128702,58,22.2799943,114.1750916,0.0,0.0,5.0
Admiralty Centre - Tower 1,ADMIRALTY,128630,3385,128630,38,22.2792728,114.1650221,0.0,4.0,20.0
Man Yee Building,CENTRAL,128610,1429,128610,90,22.2835772,114.1561146,19.0,6.0,20.0
Infinitus Plaza,SHEUNG WAN,128520,3060,128520,42,22.2864399,114.1536781,2.0,8.0,20.0
Sands Building,TSIM SHA TSUI,127314,3858,127314,33,22.2965222,114.1709494,8.0,3.0,20.0
Strand 50 (Bonham Trade Centre),SHEUNG WAN,127230,4241,127230,30,22.285767,114.1512853,20.0,14.0,20.0
Nan Fung Tower,SHEUNG WAN,127160,2312,127160,55,22.2863943,114.1491375,5.0,3.0,20.0
299QRC,SHEUNG WAN,127020,4380,127020,29,22.2849577,114.150647,9.0,20.0,20.0
Tung Hip Commercial Building,SHEUNG WAN,126620,4870,126620,26,22.2862512,114.1521567,15.0,8.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,126208,4352,126208,29,22.3136835,114.2212449,1.0,3.0,20.0
Manulife Tower (West Tower),KWUN TONG,125120,6256,125120,20,22.315698,114.2331057,0.0,0.0,0.0
"The Chelsea (Jervois Street, 69)",SHEUNG WAN,124872,3784,124872,33,22.2852335,114.1511115,19.0,20.0,20.0
"Duddell Street, 1",CENTRAL,124850,2270,124850,55,22.2802574,114.1572424,6.0,9.0,20.0
Lippo Centre - Tower 2,ADMIRALTY,124678,3281,124678,38,22.2792541,114.1636196,1.0,3.0,17.0
Times Square - Tower 1,CAUSEWAY BAY,124593,2443,124593,51,22.278151,114.1821136,12.0,20.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,124560,2595,124560,48,22.301131,114.1726444,4.0,11.0,20.0
Times Square - Tower 1,CAUSEWAY BAY,124540,2395,124540,52,22.278151,114.1821136,12.0,20.0,20.0
St. George's Building,CENTRAL,124500,1245,124500,100,22.2820638,114.1589289,0.0,7.0,20.0
Admiralty Centre - Tower 1,ADMIRALTY,124362,2961,124362,42,22.2792728,114.1650221,0.0,4.0,20.0
Hong Kong Diamond Exchange Building,CENTRAL,123750,2750,123750,45,22.2796908,114.1569637,0.0,1.0,15.0
The Center,CENTRAL,123669,1963,123669,63,22.2846202,114.1547347,3.0,17.0,20.0
Sino Plaza,CAUSEWAY BAY,123648,2688,123648,46,22.2814029,114.1824265,3.0,5.0,20.0
"Harbourfront, Two",HUNG HOM / TO KWA WAN,123488,3632,123488,34,22.3173373,114.1879691,0.0,0.0,14.0
New Henry House,CENTRAL,123200,1760,123200,70,22.2808196,114.1584629,2.0,16.0,20.0
Central Plaza,WAN CHAI,123188,2369,123188,52,22.2799097,114.1737282,0.0,0.0,0.0
CNT Tower,WAN CHAI,123003,1480,123003,83,22.278332,114.178819,15.0,6.0,20.0
"Hing Fat Street, 88",NORTH POINT,123000,4100,123000,30,22.2857461,114.1907881,1.0,4.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,122640,2555,122640,48,22.301131,114.1726444,4.0,11.0,20.0
Nina Tower,TSUEN WAN,122314,5318,122314,23,22.368611,114.113056,1.0,3.0,12.0
On Hing Building,CENTRAL,122220,3492,122220,35,22.2805487,114.1564993,13.0,14.0,20.0
"Grand Plaza Office Tower, Two",MONG KOK / TAI KOK TSUI,122150,3490,122150,35,22.3198474,114.1620857,0.0,6.0,20.0
Kinwick Centre,CENTRAL,122115,3489,122115,35,22.2820704,114.1532016,10.0,20.0,20.0
The HUB,WONG CHUK HANG,121704,5071,121704,24,22.2490089,114.1643124,2.0,0.0,3.0
The HUB,WONG CHUK HANG,121680,5070,121680,24,22.2490089,114.1643124,2.0,0.0,3.0
The HUB,WONG CHUK HANG,121680,5070,121680,24,22.2490089,114.1643124,2.0,0.0,3.0
Eastmark,KOWLOON BAY,121632,7602,121632,16,22.322232,114.211175,5.0,4.0,20.0
