bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
Cheung Kong Center II,CENTRAL,948970,8627,948970,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,948970,8627,948970,110,22.2810482,114.1626069,1.0,3.0,8.0
Three Garden Road - Champion Tower,CENTRAL,931023,10011,931023,93,22.2784355,114.160606,1.0,4.0,10.0
V Heun Building,CENTRAL,913320,22833,913320,40,22.2839685,114.154231,10.0,11.0,20.0
K11 Atelier King's Road,QUARRY BAY,908550,20190,908550,45,22.2883738,114.209851,1.0,1.0,20.0
Lippo Centre - Tower 1,ADMIRALTY,902500,18050,902500,50,22.2791796,114.1636752,0.0,3.0,17.0
Peninsula Centre,TSIM SHA TSUI,879840,48000,879840,18,22.2990655,114.177277,0.0,3.0,20.0
Central Crossing,CENTRAL,876231,10557,876231,83,22.283431,114.1541085,11.0,13.0,20.0
"Grand Plaza Office Tower, One",MONG KOK / TAI KOK TSUI,871100,17422,871100,50,22.3203648,114.169773,5.0,8.0,20.0
Central Crossing,CENTRAL,865674,10557,865674,82,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,865674,10557,865674,82,22.283431,114.1541085,11.0,13.0,20.0
Man Yee Building,CENTRAL,863645,9091,863645,95,22.2835772,114.1561146,19.0,6.0,20.0
Times Square - Tower 2,CAUSEWAY BAY,857296,19484,857296,44,22.278151,114.1821136,12.0,20.0,20.0
Times Square - Tower 1,CAUSEWAY BAY,846867,17283,846867,49,22.278151,114.1821136,12.0,20.0,20.0
Central Crossing,CENTRAL,844560,10557,844560,80,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,844560,10557,844560,80,22.283431,114.1541085,11.0,13.0,20.0
Two Harbour Square,KWUN TONG,832580,29735,832580,28,22.3097058,114.2212389,2.0,4.0,13.0
Central Crossing,CENTRAL,823446,10557,823446,78,22.283431,114.1541085,11.0,13.0,20.0
"Harbourfront, Two",HUNG HOM / TO KWA WAN,816156,22671,816156,36,22.3173373,114.1879691,0.0,0.0,14.0
Central Crossing,CENTRAL,791775,10557,791775,75,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,791775,10557,791775,75,22.283431,114.1541085,11.0,13.0,20.0
International Commerce Centre (ICC),TSIM SHA TSUI,788736,10112,788736,78,22.3034032,114.1601907,1.0,3.0,13.0
