bldg_name,district,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m,nearest_mtr_distance_m,nearest_mtr_name,stations_within_1km
Golden Centre,SHEUNG WAN,5385,226170,42,22.29,114.15,5,7,20,168.02,Sheung Wan,3
Golden Centre,SHEUNG WAN,5385,226170,42,22.29,114.15,5,7,20,168.02,Sheung Wan,3
Golden Centre,SHEUNG WAN,5385,226170,42,22.29,114.15,5,7,20,168.02,Sheung Wan,3
"Queen's Road Central, 8",CENTRAL,3012,225900,75,22.28,114.16,3,5,20,191.37,Central,4
"Queen's Road Central, 8",CENTRAL,3012,225900,75,22.28,114.16,3,5,20,191.37,Central,4
Cosco Tower,SHEUNG WAN,3752,225120,60,22.29,114.15,10,10,20,152.08,Sheung Wan,3
One Peking,TSIM SHA TSUI,3200,224000,70,22.3,114.17,2,3,20,338.82,Tsim Sha Tsui,3
Chinachem Tower,CENTRAL,4290,223080,52,22.28,114.16,6,6,20,132.5,Hong Kong,4
Chinachem Tower,CENTRAL,4290,223080,52,22.28,114.16,6,6,20,132.5,Hong Kong,4
Chinachem Tower,CENTRAL,4290,223080,52,22.28,114.16,6,6,20,132.5,Hong Kong,4
Chinachem Tower,CENTRAL,4290,223080,52,22.28,114.16,6,6,20,132.5,Hong Kong,4
Chinachem Tower,CENTRAL,4290,223080,52,22.28,114.16,6,6,20,132.5,Hong Kong,4
Millennium City 6,KWUN TONG,8252,222804,27,22.31,114.22,7,4,20,461.78,Kwun Tong,2
"Central Des Voeux, 308",SHEUNG WAN,5176,222568,43,22.29,114.15,10,6,20,123.85,Sheung Wan,4
Fortis Tower,WAN CHAI,6350,222250,35,22.28,114.17,1,7,20,149.92,Wan Chai,3
Infinitus Plaza,SHEUNG WAN,4720,221840,47,22.29,114.15,2,8,20,186.37,Sheung Wan,3
Jubilee Centre,WAN CHAI,6693,220869,33,22.28,114.17,0,2,20,296.57,Wan Chai,3
Sino Plaza,CAUSEWAY BAY,4893,220185,45,22.28,114.18,3,5,20,292.4,Causeway Bay,3
Lee Garden Two (Caroline Centre),CAUSEWAY BAY,3990,219450,55,22.28,114.19,3,9,20,207.11,Causeway Bay,2
Asia Standard Tower,CENTRAL,5621,219219,39,22.28,114.16,20,10,20,205.11,Central,4
Energy Plaza,TSIM SHA TSUI,5478,219120,40,22.3,114.18,0,2,11,518.32,Tsim Sha Tsui,4
Ruttonjee Centre - Dina House,CENTRAL,5467,218680,40,22.28,114.16,5,7,20,200.73,Central,4
