bldg_name,district,sq_ft,price
Tak Shing House,CENTRAL,"Tak Shing House
CENTRAL
Rental: HKD 286,848 / 72 p.s.f.
Size: 3,984 s.f.
Bare Shell, Low Floor
Prop.#: 91443","286,848"
Sun Hung Kai Centre,WAN CHAI,"Sun Hung Kai Centre
WAN CHAI
Rental: HKD 286,378 / 62 p.s.f.
Size: 4,619 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 88591","286,378"
Energy Plaza,TSIM SHA TSUI,"Energy Plaza
TSIM SHA TSUI
Rental: HKD 285,821 / 23 p.s.f.
Size: 12,427 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 67022","285,821"
"Harbourfront, One",HUNG HOM / TO KWA WAN,"Harbourfront, One
HUNG HOM / TO KWA WAN
Rental: HKD 285,732 / 36 p.s.f.
Size: 7,937 s.f.
Fully Fitted, High Floor, City View
Prop.#: 87929","285,732"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 284,284 / 28 p.s.f.
Size: 10,153 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 52599","284,284"
Cosco Tower,SHEUNG WAN,"Cosco Tower
SHEUNG WAN
Rental: HKD 284,080 / 40 p.s.f.
Size: 7,102 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 55251","284,080"
Kingston International Centre,KOWLOON BAY,"Kingston International Centre
KOWLOON BAY
Rental: HKD 282,640 / 20 p.s.f.
Size: 14,132 s.f.
Bare Shell, Low Floor, City View
Prop.#: 84764","282,640"
Silver Fortune Plaza,CENTRAL,"Silver Fortune Plaza
CENTRAL
Rental: HKD 282,420 / 60 p.s.f.
Size: 4,707 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 48081","282,420"
Shun Tak Centre - China Merchants Tower,SHEUNG WAN,"Shun Tak Centre - China Merchants Tower
SHEUNG WAN
Rental: HKD 280,539 / 44 p.s.f.
Size: 6,405 s.f.
Furnished, Sea View
Prop.#: 91898","280,539"
China Overseas Building,WAN CHAI,"China Overseas Building
WAN CHAI
Rental: HKD 280,455 / 35 p.s.f.
Size: 8,013 s.f.
Bare Shell
Prop.#: 90204","280,455"
"King's Road, 1063",QUARRY BAY,"King's Road, 1063
QUARRY BAY
Rental: HKD 279,946 / 38 p.s.f.
Size: 7,367 s.f.
Mid Floor
Prop.#: 74504","279,946"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 278,460 / 45 p.s.f.
Size: 6,188 s.f.
Fully Fitted, Low Floor, Mountain View
Prop.#: 75829","278,460"
Tower 535,CAUSEWAY BAY,"Tower 535
CAUSEWAY BAY
Rental: HKD 277,920 / 60 p.s.f.
Size: 4,632 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 78173","277,920"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 277,698 / 93 p.s.f.
Size: 2,986 s.f.
Fully Fitted, Low Floor, Garden View
Prop.#: 66110","277,698"
Entertainment Building,CENTRAL,"Entertainment Building
CENTRAL
Rental: HKD 276,850 / 70 p.s.f.
Size: 3,955 s.f.
Fully Fitted, High Floor, City View
Prop.#: 55165","276,850"
"Wyndham Street, 33",CENTRAL,"Wyndham Street, 33
CENTRAL
Rental: HKD 276,780 / 60 p.s.f.
Size: 4,613 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 5516","276,780"
Agricultural Bank Of China Tower,CENTRAL,"Agricultural Bank Of China Tower
CENTRAL
Rental: HKD 276,675 / 75 p.s.f.
Size: 3,689 s.f.
Bare Shell, Low Floor, City View
Prop.#: 88801","276,675"
Times Square - Tower 1,CAUSEWAY BAY,"Times Square - Tower 1
CAUSEWAY BAY
Rental: HKD 275,918 / 53 p.s.f.
Size: 5,206 s.f.
Bare Shell, Partial Seaview
Prop.#: 89575","275,918"
Tower 535,CAUSEWAY BAY,"Tower 535
CAUSEWAY BAY
Rental: HKD 274,615 / 55 p.s.f.
Size: 4,993 s.f.
Fully Fitted, Low Floor
Prop.#: 79956","274,615"
Man Yee Building,CENTRAL,"VR TOUR
Man Yee Building
CENTRAL
Rental: HKD 274,482 / 78 p.s.f.
Size: 3,519 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 53940","274,482"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 274,131 / 27 p.s.f.
Size: 10,153 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 52598","274,131"
"Gateway, The - Tower 6",TSIM SHA TSUI,"Gateway, The - Tower 6
TSIM SHA TSUI
Rental: HKD 272,064 / 48 p.s.f.
Size: 5,668 s.f.
High Floor
Prop.#: 91702","272,064"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 271,932 / 93 p.s.f.
Size: 2,924 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 16404","271,932"
"Nathan Road, 700",MONG KOK / TAI KOK TSUI,"Nathan Road, 700
MONG KOK / TAI KOK TSUI
Rental: HKD 271,586 / 38 p.s.f.
Size: 7,147 s.f.
Fully Fitted
Prop.#: 91333","271,586"
Chinachem Golden Plaza,TSIM SHA TSUI,"Chinachem Golden Plaza
TSIM SHA TSUI
Rental: HKD 271,377 / 23 p.s.f.
Size: 11,799 s.f.
Bare Shell, High Floor, City View
Prop.#: 89700","271,377"
Three Garden Road - ICBC Tower,CENTRAL,"Three Garden Road - ICBC Tower
CENTRAL
Rental: HKD 270,537 / 93 p.s.f.
Size: 2,909 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 92053","270,537"
The Center,CENTRAL,"The Center
CENTRAL
Rental: HKD 270,396 / 63 p.s.f.
Price: HKD 102.1M / 23,800 p.s.f.
Size: 4,292 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 67835","270,396"
Connaught Marina,SHEUNG WAN,"Connaught Marina
SHEUNG WAN
Rental: HKD 270,360 / 120 p.s.f.
Size: 2,253 s.f.
Bare Shell, Low Floor
Prop.#: 83963","270,360"
"Heung Yip Road, 41",WONG CHUK HANG,"Heung Yip Road, 41
WONG CHUK HANG
Rental: HKD 270,112 / 23 p.s.f.
Size: 11,744 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 73528","270,112"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 270,025 / 25 p.s.f.
Size: 10,801 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 62330","270,025"
Luk Kwok Centre,WAN CHAI,"Luk Kwok Centre
WAN CHAI
Rental: HKD 268,905 / 39 p.s.f.
Size: 6,895 s.f.
Bare Shell, Mid Floor
Prop.#: 78","268,905"
Luk Kwok Centre,WAN CHAI,"Luk Kwok Centre
WAN CHAI
Rental: HKD 268,905 / 39 p.s.f.
Size: 6,895 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 518","268,905"
Luk Kwok Centre,WAN CHAI,"Luk Kwok Centre
WAN CHAI
Rental: HKD 268,905 / 39 p.s.f.
Size: 6,895 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 38833","268,905"
Luk Kwok Centre,WAN CHAI,"Luk Kwok Centre
WAN CHAI
Rental: HKD 268,905 / 39 p.s.f.
Size: 6,895 s.f.
Bare Shell, High Floor, City View
Prop.#: 16815","268,905"
Luk Kwok Centre,WAN CHAI,"Luk Kwok Centre
WAN CHAI
Rental: HKD 268,905 / 39 p.s.f.
Size: 6,895 s.f.
Fully Fitted
Prop.#: 52282","268,905"
Nan Fung Tower,SHEUNG WAN,"Nan Fung Tower
SHEUNG WAN
Rental: HKD 268,686 / 46 p.s.f.
Size: 5,841 s.f.
Fully Fitted, Mid Floor
Prop.#: 55821","268,686"
Harcourt House,WAN CHAI,"Harcourt House
WAN CHAI
Rental: HKD 268,674 / 42 p.s.f.
Size: 6,397 s.f.
Fully Fitted, Low Floor, Sea View
Prop.#: 75306","268,674"
Cosco Tower,SHEUNG WAN,"Cosco Tower
SHEUNG WAN
Rental: HKD 267,996 / 46 p.s.f.
Size: 5,826 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 5495","267,996"
Chinachem Golden Plaza,TSIM SHA TSUI,"Chinachem Golden Plaza
TSIM SHA TSUI
Rental: HKD 267,720 / 23 p.s.f.
Size: 11,640 s.f.
Bare Shell, Low Floor, City View
Prop.#: 87636","267,720"
Infinitus Plaza,SHEUNG WAN,"Infinitus Plaza
SHEUNG WAN
Rental: HKD 267,456 / 42 p.s.f.
Size: 6,368 s.f.
Bare Shell, Partial Seaview
Prop.#: 91460","267,456"
Connaught Marina,SHEUNG WAN,"Connaught Marina
SHEUNG WAN
Rental: HKD 267,150 / 150 p.s.f.
Size: 1,781 s.f.
Bare Shell, Low Floor
Prop.#: 83962","267,150"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 266,090 / 110 p.s.f.
Size: 2,419 s.f.
Prop.#: 86227","266,090"
Tak Shing House,CENTRAL,"Tak Shing House
CENTRAL
Rental: HKD 266,070 / 70 p.s.f.
Size: 3,801 s.f.
Bare Shell, Low Floor
Prop.#: 91444","266,070"
Asia Standard Tower,CENTRAL,"Asia Standard Tower
CENTRAL
Rental: HKD 265,600 / 50 p.s.f.
Size: 5,312 s.f.
Low Floor
Prop.#: 86116","265,600"
AIA Central,CENTRAL,"AIA Central
CENTRAL
Rental: HKD 265,050 / 90 p.s.f.
Size: 2,945 s.f.
Low Floor
Prop.#: 91957","265,050"
The Center,CENTRAL,"The Center
CENTRAL
Rental: HKD 262,990 / 70 p.s.f.
Price: HKD 89.4M / 23,800 p.s.f.
Size: 3,757 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 71295","262,990"
The Center,CENTRAL,"The Center
CENTRAL
Rental: HKD 262,400 / 80 p.s.f.
Size: 3,280 s.f.
High Floor
Prop.#: 92113","262,400"
Chubb Tower (Windsor House),CAUSEWAY BAY,"Chubb Tower (Windsor House)
CAUSEWAY BAY
Rental: HKD 261,468 / 36 p.s.f.
Size: 7,263 s.f.
Fully Fitted, High Floor, City View
Prop.#: 21657","261,468"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 260,600 / 100 p.s.f.
Size: 2,606 s.f.
Mid Floor
Prop.#: 92121","260,600"
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,"Mira Place Tower A (Miramar Tower)
TSIM SHA TSUI
Rental: HKD 260,386 / 49 p.s.f.
Size: 5,314 s.f.
Bare Shell, Low Floor, City View
Prop.#: 41422","260,386"
YF Life Centre,WAN CHAI,"YF Life Centre
WAN CHAI
Rental: HKD 259,720 / 40 p.s.f.
Size: 6,493 s.f.
Bare Shell, Low Floor
Prop.#: 56398","259,720"
Lee Garden One (The Lee Gardens),CAUSEWAY BAY,"VR TOUR
Lee Garden One (The Lee Gardens)
CAUSEWAY BAY
Rental: HKD 259,624 / 68 p.s.f.
Size: 3,818 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 47222","259,624"
AIA Central,CENTRAL,"AIA Central
CENTRAL
Rental: HKD 258,210 / 90 p.s.f.
Size: 2,869 s.f.
Low Floor
Prop.#: 91359","258,210"
"Harbourfront, Two",HUNG HOM / TO KWA WAN,"Harbourfront, Two
HUNG HOM / TO KWA WAN
Rental: HKD 258,156 / 36 p.s.f.
Size: 7,171 s.f.
High Floor
Prop.#: 50316","258,156"
Great Eagle Centre,WAN CHAI,"Great Eagle Centre
WAN CHAI
Rental: HKD 257,900 / 50 p.s.f.
Size: 5,158 s.f.
Bare Shell, High Floor, City View
Prop.#: 10002","257,900"
Central Tower,CENTRAL,"Central Tower
CENTRAL
Rental: HKD 257,700 / 75 p.s.f.
Size: 3,436 s.f.
Bare Shell, Low Floor, City View
Prop.#: 65642","257,700"
Victoria Centre,NORTH POINT,"Victoria Centre
NORTH POINT
Rental: HKD 257,625 / 25 p.s.f.
Size: 10,305 s.f.
Partially Fitted, City View
Prop.#: 88970","257,625"
Man Yee Building,CENTRAL,"Man Yee Building
CENTRAL
Rental: HKD 257,070 / 95 p.s.f.
Size: 2,706 s.f.
Bare Shell, High Floor, Open View
Prop.#: 64456","257,070"
H Code,CENTRAL,"H Code
CENTRAL
Rental: HKD 256,992 / 48 p.s.f.
Size: 5,354 s.f.
Bare Shell, Low Floor, City View
Prop.#: 78093","256,992"
H Code,CENTRAL,"H Code
CENTRAL
Rental: HKD 256,992 / 48 p.s.f.
Size: 5,354 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 80986","256,992"
H Code,CENTRAL,"H Code
CENTRAL
Rental: HKD 256,992 / 48 p.s.f.
Size: 5,354 s.f.
Fully Fitted, Low Floor
Prop.#: 82508","256,992"
H Code,CENTRAL,"H Code
CENTRAL
Rental: HKD 256,992 / 48 p.s.f.
Size: 5,354 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 89046","256,992"
Times Square - Tower 2,CAUSEWAY BAY,"Times Square - Tower 2
CAUSEWAY BAY
Rental: HKD 256,900 / 50 p.s.f.
Size: 5,138 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 70059","256,900"
YF Life Centre,WAN CHAI,"YF Life Centre
WAN CHAI
Rental: HKD 256,880 / 40 p.s.f.
Size: 6,422 s.f.
Furnished, Low Floor, City View
Prop.#: 62673","256,880"
Millennium City 5 - BEA Tower,KWUN TONG,"Millennium City 5 - BEA Tower
KWUN TONG
Rental: HKD 256,156 / 34 p.s.f.
Size: 7,534 s.f.
Bare Shell, Mid Floor
Prop.#: 84827","256,156"
"King's Road, 633",NORTH POINT,"King's Road, 633
NORTH POINT
Rental: HKD 256,148 / 26 p.s.f.
Size: 10,045 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 27585","256,148"
"King's Road, 633",NORTH POINT,"King's Road, 633
NORTH POINT
Rental: HKD 256,148 / 26 p.s.f.
Size: 10,045 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 27594","256,148"
Shui On Centre,WAN CHAI,"Shui On Centre
WAN CHAI
Rental: HKD 256,032 / 32 p.s.f.
Size: 8,001 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 34386","256,032"
"Queen's Road Central, 8",CENTRAL,"Queen's Road Central, 8
CENTRAL
Rental: HKD 256,020 / 85 p.s.f.
Size: 3,012 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 39273","256,020"
"Queen's Road Central, 8",CENTRAL,"Queen's Road Central, 8
CENTRAL
Rental: HKD 256,020 / 85 p.s.f.
Size: 3,012 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 8526","256,020"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 255,650 / 25 p.s.f.
Size: 10,226 s.f.
Furnished, Low Floor, City View
Prop.#: 67307","255,650"
Standard Chartered Bank Building,CENTRAL,"Standard Chartered Bank Building
CENTRAL
Rental: HKD 255,600 / 80 p.s.f.
Size: 3,195 s.f.
Fully Fitted, Low Floor, Mountain View
Prop.#: 89040","255,600"
K Wah Centre,NORTH POINT,"K Wah Centre
NORTH POINT
Rental: HKD 254,664 / 18 p.s.f.
Size: 14,148 s.f.
Bare Shell, Low Floor, Partial Seaview
Prop.#: 13462","254,664"
Kerry Centre,NORTH POINT,"Kerry Centre
NORTH POINT
Rental: HKD 253,506 / 33 p.s.f.
Size: 7,682 s.f.
Fully Fitted, Low Floor, Sea View
Prop.#: 88789","253,506"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 252,576 / 24 p.s.f.
Size: 10,524 s.f.
Bare Shell, Low Floor, City View
Prop.#: 67306","252,576"
Central Plaza,WAN CHAI,"Central Plaza
WAN CHAI
Rental: HKD 251,680 / 55 p.s.f.
Size: 4,576 s.f.
Fully Fitted, Low Floor, Partial Seaview
Prop.#: 69902","251,680"
H8,TSIM SHA TSUI,"H8
TSIM SHA TSUI
Rental: HKD 250,001 / 77 p.s.f.
Price: HKD 194.1M / 60,000 p.s.f.
Size: 3,235 s.f.
Fully Fitted, Low Floor
Prop.#: 87984","250,001"
Hua Chiao Commercial Centre,MONG KOK / TAI KOK TSUI,"Hua Chiao Commercial Centre
MONG KOK / TAI KOK TSUI
Rental: HKD 250,000 / 45 p.s.f.
Size: 5,542 s.f.
Fully Fitted, City View
Prop.#: 70043","250,000"
Kowloon Centre,TSIM SHA TSUI,"Kowloon Centre
TSIM SHA TSUI
Rental: HKD 249,956 / 15 p.s.f.
Price: HKD 160.0M / 9,812 p.s.f.
Size: 16,305 s.f.
Bare Shell, Low Floor, City View
Prop.#: 36860","249,956"
"Queen's Road Central, 9",CENTRAL,"Queen's Road Central, 9
CENTRAL
Rental: HKD 249,300 / 45 p.s.f.
Size: 5,540 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 67220","249,300"
Ho Lee Commercial Building,CENTRAL,"Ho Lee Commercial Building
CENTRAL
Rental: HKD 249,100 / 47 p.s.f.
Size: 5,300 s.f.
Fully Fitted
Prop.#: 87619","249,100"
Wu Chung House,WAN CHAI,"Wu Chung House
WAN CHAI
Rental: HKD 248,850 / 30 p.s.f.
Size: 8,295 s.f.
Bare Shell, High Floor
Prop.#: 86816","248,850"
"Nathan Road, 26",TSIM SHA TSUI,"Nathan Road, 26
TSIM SHA TSUI
Rental: HKD 248,248 / 62 p.s.f.
Size: 4,004 s.f.
Fully Fitted, Mid Floor
Prop.#: 91277","248,248"
Kerry Centre,NORTH POINT,"Kerry Centre
NORTH POINT
Rental: HKD 247,929 / 33 p.s.f.
Size: 7,513 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 61520","247,929"
Bank of America Tower,CENTRAL,"Bank of America Tower
CENTRAL
Rental: HKD 247,500 / 45 p.s.f.
Size: 5,500 s.f.
Furnished, Sea View
Prop.#: 83173","247,500"
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,"Mira Place Tower A (Miramar Tower)
TSIM SHA TSUI
Rental: HKD 247,303 / 49 p.s.f.
Size: 5,047 s.f.
Fully Fitted, Low Floor
Prop.#: 77547","247,303"
K11 Atelier King's Road,QUARRY BAY,"K11 Atelier King's Road
QUARRY BAY
Rental: HKD 246,600 / 45 p.s.f.
Size: 5,480 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 91583","246,600"
The Tonnochy,WAN CHAI,"The Tonnochy
WAN CHAI
Rental: HKD 246,505 / 35 p.s.f.
Size: 7,043 s.f.
Low Floor
Prop.#: 90923","246,505"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 246,375 / 75 p.s.f.
Size: 3,285 s.f.
Bare Shell, Low Floor, Partial Seaview
Prop.#: 81947","246,375"
Cosco Tower,SHEUNG WAN,"Cosco Tower
SHEUNG WAN
Rental: HKD 246,200 / 40 p.s.f.
Size: 6,155 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 19585","246,200"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 245,424 / 24 p.s.f.
Size: 10,226 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 38842","245,424"
Jubilee Centre,WAN CHAI,"Jubilee Centre
WAN CHAI
Rental: HKD 242,550 / 35 p.s.f.
Size: 6,930 s.f.
Fully Fitted, Sea View
Prop.#: 56746","242,550"
"Queen's Road Central, 8",CENTRAL,"Queen's Road Central, 8
CENTRAL
Rental: HKD 240,960 / 80 p.s.f.
Size: 3,012 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 49301","240,960"
"Queen's Road Central, 8",CENTRAL,"Queen's Road Central, 8
CENTRAL
Rental: HKD 240,960 / 80 p.s.f.
Size: 3,012 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 55425","240,960"
Lippo Centre - Tower 2,ADMIRALTY,"Lippo Centre - Tower 2
ADMIRALTY
Rental: HKD 240,750 / 45 p.s.f.
Size: 5,350 s.f.
Fully Fitted, High Floor
Prop.#: 91878","240,750"
Grand Millennium Plaza,SHEUNG WAN,"Grand Millennium Plaza
SHEUNG WAN
Rental: HKD 240,142 / 34 p.s.f.
Size: 7,063 s.f.
Bare Shell, High Floor, Open View
Prop.#: 57883","240,142"
Coda Plaza,CENTRAL,"Coda Plaza
CENTRAL
Rental: HKD 240,000 / 48 p.s.f.
Size: 5,000 s.f.
Bare Shell, High Floor
Prop.#: 74787","240,000"
Coda Plaza,CENTRAL,"Coda Plaza
CENTRAL
Rental: HKD 240,000 / 48 p.s.f.
Size: 5,000 s.f.
Prop.#: 74788","240,000"
California Tower,CENTRAL,"California Tower
CENTRAL
Rental: HKD 239,460 / 60 p.s.f.
Size: 3,991 s.f.
Bare Shell, Low Floor, City View
Prop.#: 89521","239,460"
Trade Square,CHEUNG SHA WAN / LAI CHI KOK,"Trade Square
CHEUNG SHA WAN / LAI CHI KOK
Rental: HKD 238,017 / 22 p.s.f.
Size: 10,640 s.f.
Bare Shell, Mid Floor, Open View
Prop.#: 68567","238,017"
"Nathan Road, 26",TSIM SHA TSUI,"Nathan Road, 26
TSIM SHA TSUI
Rental: HKD 237,974 / 58 p.s.f.
Size: 4,103 s.f.
Bare Shell, Mid Floor
Prop.#: 91276","237,974"
Millennium City 5 - BEA Tower,KWUN TONG,"Millennium City 5 - BEA Tower
KWUN TONG
Rental: HKD 237,900 / 39 p.s.f.
Size: 6,100 s.f.
Bare Shell, High Floor
Prop.#: 54275","237,900"
LHT Tower,CENTRAL,"LHT Tower
CENTRAL
Rental: HKD 237,660 / 85 p.s.f.
Size: 2,796 s.f.
Fully Fitted, City View
Prop.#: 92057","237,660"
Infinitus Plaza,SHEUNG WAN,"Infinitus Plaza
SHEUNG WAN
Rental: HKD 237,440 / 160 p.s.f.
Size: 1,484 s.f.
Bare Shell, Low Floor
Prop.#: 92050","237,440"
East Town Building,WAN CHAI,"East Town Building
WAN CHAI
Rental: HKD 236,940 / 33 p.s.f.
Size: 7,180 s.f.
Bare Shell, High Floor, City View
Prop.#: 62821","236,940"
East Town Building,WAN CHAI,"East Town Building
WAN CHAI
Rental: HKD 236,940 / 33 p.s.f.
Size: 7,180 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 9670","236,940"
East Town Building,WAN CHAI,"East Town Building
WAN CHAI
Rental: HKD 236,940 / 33 p.s.f.
Size: 7,180 s.f.
Bare Shell, High Floor, City View
Prop.#: 24603","236,940"
Silver Fortune Plaza,CENTRAL,"Silver Fortune Plaza
CENTRAL
Rental: HKD 236,340 / 65 p.s.f.
Size: 3,636 s.f.
Fully Fitted, Low Floor
Prop.#: 48084","236,340"
"Harbourfront, Two",HUNG HOM / TO KWA WAN,"Harbourfront, Two
HUNG HOM / TO KWA WAN
Rental: HKD 236,196 / 36 p.s.f.
Size: 6,561 s.f.
Fully Fitted, Mid Floor
Prop.#: 91281","236,196"
V Heun Building,CENTRAL,"V Heun Building
CENTRAL
Rental: HKD 236,120 / 40 p.s.f.
Price: HKD 165.3M / 28,000 p.s.f.
Size: 5,903 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 46345","236,120"
"Harbourfront, One",HUNG HOM / TO KWA WAN,"Harbourfront, One
HUNG HOM / TO KWA WAN
Rental: HKD 235,800 / 36 p.s.f.
Size: 6,550 s.f.
Fully Fitted, Sea View
Prop.#: 86230","235,800"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 235,198 / 23 p.s.f.
Size: 10,226 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 38841","235,198"
Millennium City 1 - Tower 01,KWUN TONG,"Millennium City 1 - Tower 01
KWUN TONG
Rental: HKD 235,161 / 29 p.s.f.
Size: 8,109 s.f.
Mid Floor
Prop.#: 40578","235,161"
World Finance Centre - North,TSIM SHA TSUI,"World Finance Centre - North
TSIM SHA TSUI
Rental: HKD 235,080 / 30 p.s.f.
Size: 7,836 s.f.
Bare Shell, High Floor
Prop.#: 91404","235,080"
Three Garden Road - ICBC Tower,CENTRAL,"Three Garden Road - ICBC Tower
CENTRAL
Rental: HKD 234,267 / 93 p.s.f.
Size: 2,519 s.f.
Bare Shell, Mid Floor, Open View
Prop.#: 76628","234,267"
Lippo Centre - Tower 1,ADMIRALTY,"Lippo Centre - Tower 1
ADMIRALTY
Rental: HKD 233,505 / 45 p.s.f.
Size: 5,189 s.f.
Fully Fitted, High Floor, Garden View
Prop.#: 26752","233,505"
K11 Atelier Victoria Dockside,TSIM SHA TSUI,"K11 Atelier Victoria Dockside
TSIM SHA TSUI
Rental: HKD 232,800 / 80 p.s.f.
Size: 2,910 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 87269","232,800"
"Harbourfront, One",HUNG HOM / TO KWA WAN,"Harbourfront, One
HUNG HOM / TO KWA WAN
Rental: HKD 232,560 / 36 p.s.f.
Size: 6,460 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 15798","232,560"
The Millennity - Tower 2,KWUN TONG,"The Millennity - Tower 2
KWUN TONG
Rental: HKD 232,372 / 28 p.s.f.
Size: 8,299 s.f.
Bare Shell, Low Floor
Prop.#: 89131","232,372"
Guangdong Investment Tower,SHEUNG WAN,"Guangdong Investment Tower
SHEUNG WAN
Rental: HKD 231,990 / 30 p.s.f.
Price: HKD 85.1M / 11,000 p.s.f.
Size: 7,733 s.f.
Fully Fitted, Sea View
Prop.#: 43160","231,990"
Ocean Centre,TSIM SHA TSUI,"Ocean Centre
TSIM SHA TSUI
Rental: HKD 231,270 / 30 p.s.f.
Size: 7,709 s.f.
Prop.#: 92137","231,270"
Central Plaza,WAN CHAI,"Central Plaza
WAN CHAI
Rental: HKD 231,133 / 53 p.s.f.
Size: 4,361 s.f.
Bare Shell, Low Floor
Prop.#: 89087","231,133"
Chinachem Golden Plaza,TSIM SHA TSUI,"Chinachem Golden Plaza
TSIM SHA TSUI
Rental: HKD 230,713 / 23 p.s.f.
Size: 10,031 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 87638","230,713"
The Center,CENTRAL,"The Center
CENTRAL
Rental: HKD 230,425 / 65 p.s.f.
Size: 3,545 s.f.
Furnished, Mid Floor, Partial Seaview
Prop.#: 71151","230,425"
"Electric Road, 148",NORTH POINT,"Electric Road, 148
NORTH POINT
Rental: HKD 229,740 / 28 p.s.f.
Size: 8,205 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 27448","229,740"
Shun Tak Centre - West Tower,SHEUNG WAN,"Shun Tak Centre - West Tower
SHEUNG WAN
Rental: HKD 228,360 / 55 p.s.f.
Size: 4,152 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 81601","228,360"
Tower 535,CAUSEWAY BAY,"Tower 535
CAUSEWAY BAY
Rental: HKD 227,640 / 60 p.s.f.
Size: 3,794 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 87246","227,640"
China Resources Building,WAN CHAI,"China Resources Building
WAN CHAI
Rental: HKD 227,425 / 55 p.s.f.
Size: 4,135 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 85717","227,425"
Chinachem Tower,CENTRAL,"Chinachem Tower
CENTRAL
Rental: HKD 227,370 / 53 p.s.f.
Size: 4,290 s.f.
High Floor, City View
Prop.#: 65427","227,370"
China Taiping Finance Centre,NORTH POINT,"China Taiping Finance Centre
NORTH POINT
Rental: HKD 227,286 / 54 p.s.f.
Size: 4,209 s.f.
Bare Shell, Low Floor
Prop.#: 74601","227,286"
Times Square - Tower 2,CAUSEWAY BAY,"Times Square - Tower 2
CAUSEWAY BAY
Rental: HKD 226,700 / 50 p.s.f.
Size: 4,534 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 23082","226,700"
